Region,,Spots,Review,Tema
강원,0,정선가리왕산케이블카 숙암역,228,케이블카
강원,1,철원한탄강 주상절리길,86,"관광,명소"
강원,2,속초아이,954,테마파크
강원,3,강원랜드,49,카지노
강원,4,춘천삼악산호수케이블카,144,케이블카
강원,5,발왕산 관광케이블카,251,케이블카
강원,6,안목해변,390,"해수욕장,해변"
강원,7,레고랜드코리아리조트,1123,테마파크
강원,8,소금산출렁다리,234,"관광,명소"
강원,9,통일전망대,228,전망대
강원,10,선자령,87,산
강원,11,경포해수욕장,130,"해수욕장,해변"
강원,12,경포대,148,문화유적
강원,13,강문해변,91,"해수욕장,해변"
강원,14,정동진해변,117,"해수욕장,해변"
강원,15,오죽헌,599,유적지
강원,16,영금정,810,유적지
강원,17,속초해수욕장,180,"해수욕장,해변"
강원,18,만항재,30,고개
강원,19,낙산해변,50,"해수욕장,해변"
강원,20,도째비골스카이밸리,352,"관광,명소"
강원,21,하슬라아트월드,1151,테마파크
강원,22,소양강스카이워크,369,전망대
강원,23,알파카월드,836,테마파크
강원,24,추암촛대바위,343,바위
강원,25,설악케이블카,716,케이블카
강원,26,비발디파크 오션월드,810,워터테마파크
강원,27,강촌레일파크 김유정레일바이크,87,테마파크
강원,28,경포호,171,호수
강원,29,제이드가든수목원,259,"수목원,식물원"
강원,30,초곡용굴촛대바위길,66,도보여행
강원,31,남이섬,1040,섬(내륙)
강원,32,오대산월정사 전나무숲길,60,도보여행
강원,33,원대리자작나무숲,347,숲
강원,34,고석정,171,문화유적
강원,35,척산온천휴양촌,160,온천
강원,36,하조대,67,"관광,명소"
강원,37,강릉선교장,214,문화유적
강원,38,선자령등산로 입구,15,등산로
강원,39,무릉별유천지,60,"관광,명소"
강원,40,휘닉스평창 블루캐니언,61,워터테마파크
강원,41,삼척가곡유황온천스파,3,온천
강원,42,별마로천문대,242,천문대
강원,43,함백산,51,산
강원,44,명동닭갈비골목,17,먹자골목
강원,45,송정해변,27,"해수욕장,해변"
강원,46,강릉카페거리,124,카페거리
강원,47,설악워터피아,96,워터테마파크
강원,48,정동심곡 바다부채길,54,"관광,명소"
강원,49,외옹치 바다향기로,165,도보여행
강원,50,국립횡성숲체원,71,숲
강원,51,삼척해변,63,"해수욕장,해변"
강원,52,환선굴,118,동굴
강원,53,청령포 단종 유배지,42,유적지
강원,54,아야진해수욕장,79,"해수욕장,해변"
강원,55,맹방해수욕장,38,"해수욕장,해변"
강원,56,도째비골 해랑전망대,144,전망대
강원,57,소금산그랜드밸리,294,관광단지
강원,58,망상해변,46,"해수욕장,해변"
강원,59,주문진해변,32,"해수욕장,해변"
강원,60,국립청태산자연휴양림,46,자연휴양림
강원,61,사근진해변,50,"해수욕장,해변"
강원,62,황지공원 황지연못,33,연못
강원,63,반계리은행나무,75,문화유적
강원,64,직탕폭포,80,폭포
강원,65,태백산,67,산
강원,66,영랑호,201,호수
강원,67,삼척해상케이블카 용화역,99,케이블카
강원,68,화암동굴,140,동굴
강원,69,간현관광지,70,유원지
강원,70,추암해변,34,"해수욕장,해변"
강원,71,고석정국민관광지,44,관광단지
강원,72,주문진방사제,60,"관광,명소"
강원,73,하조대해수욕장,60,"해수욕장,해변"
강원,74,삼부연폭포,87,폭포
경상도,75,경주월드,1026,테마파크
경상도,76,스페이스워크,8,"관광,명소"
경상도,77,동궁과월지,1149,연못
경상도,78,황리단길,1274,카페거리
경상도,79,포항해상스카이워크,124,전망대
경상도,80,연화지,377,저수지
경상도,81,첨성대,780,문화유적
경상도,82,문경새재도립공원,658,도립공원
경상도,83,안동하회마을,106,관광단지
경상도,84,덕구온천스파월드,25,온천
경상도,85,경주보문관광단지,118,관광단지
경상도,86,대릉원,598,"릉,묘,총"
경상도,87,영일대해수욕장,650,"해수욕장,해변"
경상도,88,도산서원,365,서원
경상도,89,호미곶,222,"관광,명소"
경상도,90,경주 양동마을,199,문화유적
경상도,91,월정교,593,문화유적
경상도,92,보현산댐 출렁다리,120,"관광,명소"
경상도,93,죽변해안스카이레일,308,"관광,명소"
경상도,94,구룡포일본인가옥거리,501,테마거리
경상도,95,이가리 닻전망대,510,전망대
경상도,96,경북천년숲정원,171,"관광,명소"
경상도,97,울릉도,86,섬
경상도,98,속리산국립공원,29,국립공원
경상도,99,등기산스카이워크,198,전망대
경상도,100,백암온천관광특구,3,관광단지
경상도,101,용암온천탕,0,온천
경상도,102,경주문무대왕릉,263,"릉,묘,총"
경상도,103,성류굴,157,동굴
경상도,104,와인터널,473,"관광,명소"
경상도,105,관봉석조여래좌상,97,"불상,석불"
경상도,106,국립백두대간수목원,206,"수목원,식물원"
경상도,107,병산서원,315,서원
경상도,108,가산수피아,385,테마파크
경상도,109,호미곶 해맞이광장,200,광장
경상도,110,청도프로방스포토랜드,112,테마파크
경상도,111,문경종합온천,24,온천
경상도,112,월포해수욕장,15,"해수욕장,해변"
경상도,113,화랑의언덕,150,"관광,명소"
경상도,114,고래불해수욕장,48,"해수욕장,해변"
경상도,115,소수서원,83,서원
경상도,116,경주동궁원,328,"수목원,식물원"
경상도,117,만휴정,287,문화유적
경상도,118,오류고아라해변,13,"해수욕장,해변"
경상도,119,청송얼음골,224,"관광,명소"
경상도,120,주산저수지,98,저수지
경상도,121,경주루지월드,886,유원지
경상도,122,칠포해수욕장,18,"해수욕장,해변"
경상도,123,독도,103,섬
경상도,124,국립칠곡숲체원,31,자연휴양림
경상도,125,문경에코월드,332,테마파크
경상도,126,연오랑세오녀테마공원,97,테마파크
경상도,127,천마총,70,"릉,묘,총"
경상도,128,안동댐 인증센터,11,자전거여행
경상도,129,장사해수욕장,21,"해수욕장,해변"
경상도,130,금오랜드,142,테마파크
경상도,131,반곡지,218,저수지
경상도,132,포항송도해수욕장,12,"해수욕장,해변"
경상도,133,청도읍성,108,"산성,성곽"
경상도,134,분천역산타마을,76,"관광,명소"
경상도,135,포항구룡포 근대문화역사거리,16,테마거리
경상도,136,선비세상,206,테마파크
경상도,137,경주버드파크,308,테마파크
경상도,138,삼강주막,27,유적지
경상도,139,박정희대통령 생가,27,"생가,고택"
경상도,140,보문정,106,"관광,명소"
경상도,141,부용대,124,"관광,명소"
경상도,142,금오산,43,산
경상도,143,문경오미자테마터널,273,"관광,명소"
경상도,144,전촌용굴,63,동굴
경상도,145,감은사지삼층석탑,60,"탑,비석"
경상도,146,주왕산,84,산
경상도,147,보문호,38,호수
경상도,148,안동찜닭골목,85,먹자골목
경상도,149,안동호반자연휴양림,31,자연휴양림
광주,150,화담숲,2843,"수목원,식물원"
광주,151,남한산성,281,"산성,성곽"
광주,152,남한산성 행궁,129,"고궁,궁"
광주,153,태재고개,2,고개
광주,154,율봄식물원,314,"수목원,식물원"
광주,155,남한산성 남문,6,"산성,성곽"
광주,156,팔당전망대,57,전망대
광주,157,수어장대,22,문화유적
광주,158,곤지암,15,문화유적
광주,159,남한산성도립공원,7,도립공원
광주,160,남한산성둘레길 5코스,0,둘레길
광주,161,남한산성 서문,31,"산성,성곽"
광주,162,천진암 계곡,18,계곡
광주,163,불곡산,10,산
광주,164,남한산성순교성지,18,종교유적지
광주,165,귀여리벚꽃길,9,테마거리
광주,166,남한산성둘레길 2코스,0,둘레길
광주,167,곤지암 반디숲,95,"수목원,식물원"
광주,168,태화산,14,산
광주,169,남한산성 서문 전망대,0,전망대
광주,170,남한산성둘레길 1코스,0,둘레길
광주,171,남한산성벚꽃길,3,"관광,명소"
광주,172,무갑산,13,산
광주,173,퇴촌식물원,12,"수목원,식물원"
광주,174,남한산성둘레길 4코스,0,둘레길
광주,175,물방아관광지,7,계곡
광주,176,퇴촌카페촌,0,카페거리
광주,177,정충묘,6,문화유적
광주,178,청량산,0,산
광주,179,허난설헌묘,5,"릉,묘,총"
광주,180,울트라팜,55,관광농원
광주,181,열미계곡,1,계곡
광주,182,곤지암리조트 스파라스파,5,온천
광주,183,남한산성 북문,5,"산성,성곽"
광주,184,영장산,6,산
광주,185,백마산,8,산
광주,186,남한산성둘레길 3코스,0,둘레길
광주,187,남한산성 동문,4,"산성,성곽"
광주,188,광주시청 시민숲,0,숲
광주,189,경안천,0,하천
광주,190,곤지암루지360,46,테마파크
광주,191,분원리붕어찜마을,1,먹자골목
광주,192,마구산,1,산
광주,193,문형산,4,산
광주,194,수애상사,0,워터테마파크
광주,195,갈마치고개,2,고개
광주,196,도척저수지,0,저수지
광주,197,이배재,0,고개
광주,198,화담숲 모노레일 1승강장,7,테마파크시설
광주,199,광주시워터파크,1,워터테마파크
광주,200,가구단지,0,테마거리
광주,201,엄미리계곡,0,계곡
광주,202,남한산계곡,2,계곡
광주,203,무갑리계곡,0,계곡
광주,204,양촌지,0,저수지
광주,205,검단산,4,산
광주,206,용마산,4,산
광주,207,오산천,0,하천
광주,208,추곡저수지,0,저수지
광주,209,중대물빛공원 전망대,1,전망대
광주,210,화담숲 자생식물원,0,"수목원,식물원"
광주,211,매산저수지,1,저수지
광주,212,앵자봉,1,산봉우리
광주,213,천덕봉,3,산봉우리
광주,214,망덕산,1,산
광주,215,가장골,0,계곡
광주,216,진우저수지,0,저수지
광주,217,칠사산,1,산
광주,218,신익희 생가,3,"생가,고택"
광주,219,한양삼십리누리길,0,둘레길
광주,220,남한산성행궁 인화관,0,"고궁,궁"
광주,221,연주봉옹성,3,"산성,성곽"
광주,222,벌봉,3,산봉우리
광주,223,염치고개,0,고개
광주,224,노고봉,2,산봉우리
대구,225,팔공산케이블카,401,케이블카
대구,226,대구이월드,301,테마파크
대구,227,스파크랜드,652,테마파크
대구,228,수성못,195,저수지
대구,229,동촌유원지,131,유원지
대구,230,대구수목원,436,"수목원,식물원"
대구,231,사유원,120,"수목원,식물원"
대구,232,83타워,445,전망대
대구,233,김광석다시그리기길,350,테마거리
대구,234,스파밸리,26,워터테마파크
대구,235,청라언덕,193,"관광,명소"
대구,236,네이처파크,840,동물원
대구,237,강정보디아크광장,235,광장
대구,238,엘리바덴 신월성점,202,온천
대구,239,안지랑곱창골목,19,먹자골목
대구,240,화산산성 풍차전망대,21,전망대
대구,241,도동서원,122,서원
대구,242,화원유원지,68,유원지
대구,243,비슬산,83,산
대구,244,비슬산자연휴양림,82,자연휴양림
대구,245,마비정벽화마을,49,"그림,벽화"
대구,246,금호꽃섬,129,섬(내륙)
대구,247,삼국유사테마파크,198,테마파크
대구,248,군위아미타여래삼존석굴,34,"불상,석불"
대구,249,신매광장,4,광장
대구,250,영화 리틀포레스트 촬영지,271,촬영지
대구,251,동산계곡,28,계곡
대구,252,앞산케이블카,26,케이블카
대구,253,복현오거리막창골목,0,먹자골목
대구,254,금호꽃섬 유채꽃단지,23,"관광,명소"
대구,255,고산골공룡공원,49,테마파크
대구,256,평화시장닭똥집골목,23,먹자골목
대구,257,대구앞산공원 전망대,36,전망대
대구,258,화원자연휴양림,53,자연휴양림
대구,259,불로동고분군,92,"릉,묘,총"
대구,260,팔공산심천랜드온천,4,온천
대구,261,성당못,23,연못
대구,262,군위한밤마을 돌담길,21,테마거리
대구,263,크레이지팡팡,168,테마파크
대구,264,앞산전망대,15,전망대
대구,265,앞산해넘이전망대,67,전망대
대구,266,동인동찜갈비골목,10,먹자골목
대구,267,대구향교,14,"향교,서당"
대구,268,운암지,7,저수지
대구,269,하목정,41,유적지
대구,270,화산산성,16,"산성,성곽"
대구,271,장곡자연휴양림,3,자연휴양림
대구,272,팔공산국립공원 갓바위지구,1,국립공원 지구
대구,273,대한수목원,31,"수목원,식물원"
대구,274,수목원생활온천,9,온천
대구,275,수성유원지,10,유원지
대구,276,장기동 먹거리촌,3,먹자골목
대구,277,달성보 인증센터,3,자전거여행
대구,278,아르떼수성랜드,28,테마파크
대구,279,신숭겸장군유적지,74,유적지
대구,280,달성공원 동물원,60,동물원
대구,281,강정고령보 인증센터,3,자전거여행
대구,282,대구근대화골목,4,"관광,명소"
대구,283,이팝나무군락지,39,"생태보존,서식지"
대구,284,구암서원,21,서원
대구,285,반고개무침회골목,20,먹자골목
대구,286,육신사,36,"사당,제단"
대구,287,금호강벚꽃터널,10,"관광,명소"
대구,288,동성로28 아트스퀘어,6,"관광,명소"
대구,289,김수환추기경생가,8,"생가,고택"
대구,290,김광석거리 관광안내소,5,관광안내소
대구,291,서변온천,1,온천
대구,292,네이처파크 애니멀밸리,8,동물원
대구,293,대구시청 광장,0,광장
대구,294,위천수변테마파크,16,테마파크
대구,295,팔공산국립공원,2,국립공원
대구,296,시인이상화고택,36,"생가,고택"
대구,297,아이니테마파크,77,테마파크
대구,298,노태우대통령생가,6,"생가,고택"
대구,299,최정산,8,산
대전,300,한밭수목원,652,"수목원,식물원"
대전,301,대전오월드,187,테마파크
대전,302,장태산자연휴양림,528,자연휴양림
대전,303,계룡스파텔 대온천탕,8,온천
대전,304,상소동산림욕장,250,자연휴양림
대전,305,대전역 동광장,3,광장
대전,306,수통골,17,계곡
대전,307,계족산 황톳길,31,도보여행
대전,308,오동선대청호벚꽃길,17,테마거리
대전,309,으능정이 문화의거리,18,테마거리
대전,310,엑스포과학공원,133,테마파크
대전,311,만인산자연휴양림,53,자연휴양림
대전,312,엑스포시민광장,27,광장
대전,313,으능정이스카이로드,29,"관광,명소"
대전,314,식장산해돋이전망대,37,전망대
대전,315,식장산,36,산
대전,316,국립대전숲체원,98,자연휴양림
대전,317,계족산,21,산
대전,318,둔산선사유적지,50,유적지
대전,319,대청댐 인증센터,9,자전거여행
대전,320,보문산,50,산
대전,321,대청호,5,호수
대전,322,대전시민천문대,100,천문대
대전,323,마치광장,7,광장
대전,324,장동산림욕장,13,자연휴양림
대전,325,대청호오백리길 1코스(두메마을길),0,도보여행
대전,326,소제동 철도관사촌,14,카페거리
대전,327,대청호오백리길 4코스(호반낭만길),0,도보여행
대전,328,법무부 대전솔로몬로파크,21,테마파크
대전,329,티놀자애니멀파크,111,실내동물원
대전,330,대전시청 남문광장,3,광장
대전,331,궁동로데오거리,5,테마거리
대전,332,장태산자연휴양림 출렁다리,4,"관광,명소"
대전,333,방동저수지,2,저수지
대전,334,장태산,3,산
대전,335,계족산성,9,"산성,성곽"
대전,336,유성온천개발,1,온천
대전,337,봉명동우산거리,0,테마거리
대전,338,보운대,17,전망대
대전,339,오봉산,2,산
대전,340,송촌동먹자골목,63,먹자골목
대전,341,계족산황톳길,0,도보여행
대전,342,한밭수목원 열대식물원,61,"수목원,식물원"
대전,343,계룡산국립공원 수통골,10,유원지
대전,344,한빛탑광장,11,광장
대전,345,구봉산,15,산
대전,346,대청호오백리길 5코스(백골산성낭만길),0,도보여행
대전,347,보문산숲치유센터,2,자연휴양림
대전,348,마산동쉼터,0,"관광,명소"
대전,349,대전회덕동춘당,78,"생가,고택"
대전,350,카이스트 오리연못,9,연못
대전,351,주산동전망대,7,전망대
대전,352,갑천,2,하천
대전,353,대전역광장,6,광장
대전,354,단재신채호선생 생가지,16,"생가,고택"
대전,355,도솔산,14,산
대전,356,대전육교,2,문화유적
대전,357,대전도산서원,14,서원
대전,358,대동벽화마을,6,테마거리
대전,359,법동소류지,11,저수지
대전,360,산내골령골,0,유적지
대전,361,만인산,6,산
대전,362,오류동음식특화거리,1,먹자골목
대전,363,갑하산,7,산
대전,364,하늘공원풍차,3,"관광,명소"
대전,365,근장골전망대,1,전망대
대전,366,대전오월드 주랜드,6,동물원
대전,367,갈리단길,1,먹자골목
대전,368,스튜디오큐브,10,촬영지
대전,369,대전 비래사 목조비로자나불좌상,0,문화유적
대전,370,황새바위 전망대,1,전망대
대전,371,보문산성,19,"산성,성곽"
대전,372,대전 오토바이특화거리,1,테마거리
대전,373,홍범도장군묘역,2,"릉,묘,총"
대전,374,치유의숲,12,숲
부산,375,해운대블루라인파크 미포정거장,516,테마파크
부산,376,광안리해수욕장,2048,"해수욕장,해변"
부산,377,감천문화마을,165,"관광,명소"
부산,378,해운대해수욕장,727,"해수욕장,해변"
부산,379,롯데월드 어드벤처 부산,1422,테마파크
부산,380,아홉산숲,222,"수목원,식물원"
부산,381,흰여울문화마을,196,"관광,명소"
부산,382,오륙도스카이워크,146,전망대
부산,383,허심청 호텔농심,249,온천
부산,384,엑스더스카이,309,전망대
부산,385,해운대블루라인파크 청사포정거장,79,테마파크
부산,386,송도해수욕장,62,"해수욕장,해변"
부산,387,송도해상케이블카 송도베이스테이션,112,케이블카
부산,388,송정해수욕장,207,"해수욕장,해변"
부산,389,스카이라인 루지,350,테마파크
부산,390,태종대 전망대,68,전망대
부산,391,해운대블루라인파크 송정정거장,119,테마파크
부산,392,부산어린이대공원,156,테마파크
부산,393,해리단길,32,테마거리
부산,394,송도해상케이블카 송도스카이파크,126,케이블카
부산,395,동백섬,219,섬(내륙)
부산,396,청사포다릿돌전망대,157,전망대
부산,397,BIFF광장,32,테마거리
부산,398,태종대유원지,101,유원지
부산,399,보수동책방골목,87,테마거리
부산,400,죽성드림세트장,176,촬영지
부산,401,다대포해수욕장,373,"해수욕장,해변"
부산,402,일광해수욕장,35,"해수욕장,해변"
부산,403,임랑해수욕장,24,"해수욕장,해변"
부산,404,해운대수목원,96,"수목원,식물원"
부산,405,클럽디오아시스,917,워터테마파크
부산,406,이기대해안산책로,0,도보여행
부산,407,부산타워,179,전망대
부산,408,초량차이나타운,24,테마거리
부산,409,황령산 봉수대,138,봉수대
부산,410,부산화명수목원,148,"수목원,식물원"
부산,411,영도대교 포장마차거리,30,테마거리
부산,412,온천천카페거리,90,테마거리
부산,413,초량이바구길,52,테마거리
부산,414,국제시장먹자골목,7,먹자골목
부산,415,런닝맨 부산점,245,테마파크
부산,416,전포카페거리,63,테마거리
부산,417,송상현광장,54,광장
부산,418,부산역광장,12,광장
부산,419,온천천,17,하천
부산,420,해운대달맞이길,0,테마거리
부산,421,개금벚꽃길,23,"관광,명소"
부산,422,감천문화마을 안내센터,22,관광안내소
부산,423,충렬사,41,문화유적
부산,424,황령산전망쉼터,96,전망대
부산,425,황령산,22,산
부산,426,오륙도,14,섬
부산,427,을숙도,23,섬(내륙)
부산,428,수정,174,문화유적
부산,429,가덕도,15,섬
부산,430,낙동강하굿둑 인증센터,3,자전거여행
부산,431,태종대자갈마당,14,먹자골목
부산,432,해운대블루라인파크 스카이캡슐,3,"관광,명소"
부산,433,해물포장마차촌,357,"관광,명소"
부산,434,아미산전망대,51,전망대
부산,435,남포동먹자골목,4,먹자골목
부산,436,금정산성 동문,1,"산성,성곽"
부산,437,대항전망대,18,전망대
부산,438,금강식물원,23,"수목원,식물원"
부산,439,대영해수온천,2,온천
부산,440,해운대 포장마차촌,352,먹자골목
부산,441,녹천탕,3,온천
부산,442,금강공원 금강케이블카,36,케이블카
부산,443,부산치유의숲,31,숲
부산,444,해파랑길 1코스,0,도보여행
부산,445,절영해안산책로,14,도보여행
부산,446,봉래산,43,산
부산,447,백양산,38,산
부산,448,몰운대,26,유원지
부산,449,에코델타시티전망대,2,전망대
서울,450,경복궁,1791,"고궁,궁"
서울,451,북한산둘레길 1구간소나무숲길,0,둘레길
서울,452,북한산둘레길 7구간옛성길,0,둘레길
서울,453,북한산둘레길 9구간마실길,0,둘레길
서울,454,북한산둘레길 솔샘길4구간,0,둘레길
서울,455,남산서울타워,774,"관광,명소"
서울,456,롯데월드 어드벤처,3189,테마파크
서울,457,청와대 본관,161,"관광,명소"
